Compound_ID,Molecular_Weight,LogP,HBA,HBD,TPSA,Rotatable_Bonds,Bioactivity
CMP76,391.0951252187612,0.7888646909921149,8,0,68.5535906157732,3,Inactive
CMP77,354.35235341190855,3.235614558108566,5,0,99.34317041650993,9,Inactive
CMP78,335.0496324767066,3.7708651938869666,1,1,105.42632103844903,11,Inactive
CMP79,354.5880388267751,1.5214137542201585,3,3,94.9662179629592,8,Inactive
CMP80,250.62155426995537,4.143754043206929,8,4,66.36759374563903,1,Inactive
CMP81,339.0164056081244,3.3384964074944143,4,0,83.07460180673219,7,Inactive
CMP82,367.85562857558733,2.5847120860991986,7,1,74.51608787218167,9,Active
CMP83,423.8947022370758,3.632781866106285,2,1,56.92596278539744,8,Active
CMP84,324.0864890863176,5.270692857804396,7,1,81.48718563443207,8,Active
CMP85,309.57531985534064,3.181866255058495,5,3,51.41920417680395,6,Active
CMP86,324.91214782077316,3.248220586300336,5,4,98.75358776923127,11,Active
CMP87,395.7701058851037,2.5406391004597557,6,3,65.70765405403213,4,Active
CMP88,366.43755548298424,2.1501556305352083,9,2,79.02319311745678,8,Inactive
CMP89,323.51198981164805,3.8303358165442454,6,1,80.66575743092284,3,Inactive
CMP90,375.6633716556678,2.1439161740911326,8,2,69.82190052591845,9,Active
CMP91,354.853877467402,3.0715662372193924,7,5,86.7338760295055,2,Active
CMP92,398.43224952664445,2.5223425532348833,9,0,65.50192686754951,2,Inactive
CMP93,314.89734530613237,3.478979825746392,4,0,92.42594594914488,7,Inactive
CMP94,333.6168926701116,3.3336621052869484,2,3,48.080406395065026,10,Inactive
CMP95,330.3945923433921,4.037539944257899,7,4,77.52759159092824,4,Active
CMP96,276.8242525933941,2.489983601145253,6,2,113.77857998116569,10,Inactive
CMP97,364.8060138532288,2.7301250647066286,1,4,54.993373507888506,8,Active
CMP98,363.05276360899444,2.0212362842176925,9,3,61.44510058950297,9,Active
CMP99,350.255672832123,2.555706739923888,9,0,85.2781569931783,7,Inactive
CMP100,338.27064333124264,3.377300493044852,2,4,78.59163563879196,5,Inactive
CMP101,279.2314628974793,3.756988616645352,3,4,82.01260198547118,8,Active
CMP102,328.96773386173203,2.0778346758223747,5,0,84.78374260295327,4,Inactive
CMP103,332.8642741736615,3.86960592010566,5,2,87.6944293712354,2,Inactive
CMP104,309.88613653891906,4.3556378588049505,1,0,97.19399683912447,11,Active
CMP105,341.93571441669957,3.413434903223701,8,4,83.19637313857025,6,Inactive
CMP106,370.2025428407269,4.876795812558066,8,2,70.17484690762915,9,Active
CMP107,444.3092950605265,2.226210800896427,4,2,88.45147402405462,1,Active
CMP108,358.72889064159193,1.755345296688583,7,0,112.9976386979043,11,Inactive
CMP109,362.8775195361382,1.2212797510957214,3,4,72.34732507234853,10,Active
CMP110,346.2777042116916,4.496044311489183,6,3,55.50941390658717,7,Active
CMP111,254.06143923504794,3.6543656563540576,9,4,97.14161338573945,10,Inactive
CMP112,348.67430622753915,2.9444153290895447,1,1,72.59237672092803,9,Inactive
CMP113,353.01151049705135,3.2799686263198202,5,5,31.546609079719275,10,Inactive
CMP114,473.1621056242643,1.8745109527016235,4,3,91.94843354300843,9,Active
CMP115,340.3819517609439,5.445751979616826,8,2,64.29343628092154,10,Active
CMP116,365.07736711668065,3.1292211819752276,1,3,73.18933435391679,11,Inactive
CMP117,348.26441151473784,3.109394794604893,9,2,81.63960661138029,3,Active
CMP118,291.5660981190234,3.725766623898692,6,2,78.80999359558133,11,Inactive
CMP119,407.14114072575103,3.481009231736713,4,3,89.1890363427808,5,Inactive
CMP120,387.5966516343387,3.2238840242791316,9,2,66.29027258860313,8,Active
CMP121,389.5515973521523,2.209525544554688,5,2,85.26211596352165,8,Inactive
CMP122,304.53062726026303,3.4714683571359957,5,1,69.80906644832166,4,Active
CMP123,420.13971554680495,4.882024496475034,5,4,89.77620961775006,11,Active
CMP124,279.90744686038596,4.3454200461549775,1,4,87.30734968026107,11,Inactive
CMP125,379.3428546900135,4.5931866266393975,1,5,56.29122595910809,1,Active
CMP126,459.5227812904989,2.4887843235688147,8,5,96.71964232350064,1,Inactive
CMP127,300.4731837434656,2.010395179741419,8,1,64.28073109771904,4,Active
CMP128,321.6851135198614,2.874213079900352,6,5,91.1611559656229,6,Active
CMP129,354.98256825438204,3.0557249122886945,4,3,82.34574626802682,8,Active
CMP130,324.82621729419003,4.094191518470948,2,0,111.76367353590246,6,Inactive
CMP131,272.4668284466934,1.3075353702851806,2,0,70.53068035256295,9,Active
CMP132,353.42814874030137,4.529550319460614,9,0,68.01366407763605,9,Inactive
CMP133,296.88481431369473,2.8419921014210106,5,1,74.61160788224535,2,Active
CMP134,373.6796215317591,2.57311893005258,4,1,68.93640434331449,10,Active
CMP135,304.02878828830984,1.9878956247398325,1,2,90.998838038841,1,Inactive
CMP136,427.496720250877,1.3451433281342307,7,0,42.67378783126824,2,Inactive
CMP137,310.83733538318813,3.8231705839619146,3,3,53.92635161707292,5,Inactive
CMP138,333.89692418971623,3.073317967188404,6,5,53.64394156841614,4,Inactive
CMP139,390.6758608684835,1.7100391002589461,5,3,94.00615183947151,4,Inactive
CMP140,288.45678417830226,1.704921227936384,5,5,109.2122674516385,9,Active
CMP141,361.37299673020647,2.6642153007098717,5,0,72.91101562925057,11,Active
CMP142,415.3571377141214,4.669021525289393,1,0,71.62356553619979,8,Inactive
CMP143,269.6258382719386,2.740408648636395,1,0,76.40104326226363,6,Active
CMP144,359.2316929266152,1.4968570468818938,3,1,98.23756605216381,1,Active
CMP145,362.9941397124212,2.754256935914056,4,5,56.45293731618852,2,Active
CMP146,389.0911435888655,2.7272764302523296,5,1,79.7673796546957,6,Inactive
CMP147,288.1524644560959,0.30311335705842835,2,1,94.5039525956486,11,Active
CMP148,283.9771693457862,2.9457051334821878,8,4,85.0218833987969,2,Active
CMP149,376.09707828084487,2.769065469791322,2,3,78.79163233197487,10,Active
CMP150,364.8492336616593,3.6962063648134182,9,3,95.02092185134282,5,Inactive
CMP151,362.52464251729384,4.848956094945345,2,2,20.935354140015257,5,Active
CMP152,367.32241047484877,4.126565029547757,9,1,88.55750639061816,6,Active
CMP153,315.99876392107547,2.7311113094451693,7,5,61.918486337451526,6,Inactive
CMP154,361.61268485805016,1.8934740912583297,8,4,38.387342062870864,6,Inactive
CMP155,364.65362366493406,5.57335980324986,2,4,85.22405199049962,2,Active
CMP156,314.28242909868163,3.0592184340144883,7,3,102.47317090325916,10,Active
CMP157,443.28872555723785,3.0139292919129463,6,1,72.25102970744616,3,Inactive
CMP158,373.6916460455894,2.9758749128899966,4,2,94.05749094405877,6,Inactive
CMP159,290.4348251398676,3.198084760767855,7,1,107.24556515977291,8,Inactive
CMP160,382.8276804316915,2.8556395880760577,4,0,101.29828907168095,11,Inactive
CMP161,301.26591648863393,2.4263379931197635,2,1,107.79929058742786,1,Inactive
CMP162,389.3542301871226,2.453141058759608,7,0,89.84254982143784,1,Inactive
CMP163,407.9297789503702,2.9672467297840015,8,0,76.50867277803185,11,Inactive
CMP164,308.9658840824145,2.4565752288662352,2,2,42.96068376205663,2,Active
CMP165,398.1688064622161,2.2871542173228354,5,5,70.07875023740102,11,Inactive
CMP166,370.6390463468249,3.106430227691897,1,3,58.13506809367617,6,Inactive
CMP167,391.10300799972447,2.7450227825791447,7,1,118.41885434995628,9,Active
CMP168,444.8396491326974,4.503992988582689,8,0,71.48228375135326,4,Inactive
CMP169,337.73059419985645,0.349030191606988,6,1,77.46409613568972,3,Inactive
CMP170,312.3131917821255,4.091506851922462,5,5,86.02970752080935,8,Active
CMP171,305.5242785187238,4.246085192497629,6,3,75.87204892744907,11,Inactive
CMP172,309.2094857517281,0.9266097675918505,2,5,108.90102080861506,10,Active
CMP173,346.1449145292948,2.6573124059196513,1,3,62.54701276531096,9,Active
CMP174,367.0575987408322,2.6285591340042087,7,4,78.89214910474486,11,Active
CMP175,363.8345399665009,1.5924883052821788,7,3,60.15058828603904,5,Active
CMP176,391.3591624518012,2.2221833124091246,2,2,48.599549775585885,9,Inactive
CMP177,350.65009459389535,1.8894241545341712,2,5,62.76461818189429,2,Active
CMP178,422.67670385786585,4.7522704434236225,1,0,74.25926405903176,3,Active
CMP179,336.7671583381022,3.935678393147461,8,4,66.4139555096548,7,Inactive
CMP180,486.00845832948096,4.2715550949941585,8,2,61.15158040252288,7,Active
CMP181,381.2833673882503,3.721672064043235,1,1,46.873650726563326,6,Active
CMP182,307.1421221791859,1.8709482287827708,8,5,73.3378885474261,6,Active
CMP183,296.4553750969444,2.4754797337202263,9,0,44.90559251937995,2,Active
CMP184,374.12362076215925,3.489374561227918,4,3,90.20111927379205,10,Inactive
CMP185,338.82686073370746,1.7778721911080546,1,0,76.64879505869007,6,Active
CMP186,385.70002470460463,3.712998430172388,1,1,45.84897001070139,4,Inactive
CMP187,373.66188122867726,2.7596746018418647,3,4,68.81581845900273,3,Inactive
CMP188,346.3585543671564,2.6251791924504024,5,4,59.95687188818834,11,Active
CMP189,307.6603140965798,3.7109599682034915,5,5,81.3834902083836,2,Active
CMP190,274.25763876570676,3.44426331148604,9,4,101.80900892046289,1,Active
CMP191,327.67425239664897,2.6390338341809203,2,5,37.49655060708511,11,Active
CMP192,392.8199397161736,4.159329803364248,2,5,77.30052158294835,11,Inactive
CMP193,360.7046872065102,1.9189366724001027,6,5,71.79734408866719,5,Inactive
CMP194,287.7130610644006,3.6159356069442636,9,3,88.42680152900931,2,Inactive
CMP195,358.6590462925591,3.593101257968384,1,2,79.26393256475379,2,Active
CMP196,369.26586898644183,2.69045356068601,9,5,59.96061336522362,7,Inactive
CMP197,305.80712818994334,3.326133022242118,9,5,68.61892128666764,8,Active
CMP198,357.6862552972764,1.748886423614697,9,2,59.079482863930224,10,Active
CMP199,352.9104359223,3.924027019206901,5,0,96.52014277197196,8,Active
CMP200,292.85148510846886,2.815097863557011,9,5,75.42623297343884,4,Active
CMP201,367.88936801741414,2.4772769794809606,4,3,113.02381371506016,1,Active
CMP202,378.0392263184117,4.0490092258368895,2,4,73.78678372370759,11,Inactive
CMP203,404.1525621587638,2.295656309457241,6,4,60.831864661790746,7,Inactive
CMP204,402.69010260174514,1.5915387036364403,4,1,44.72571214774346,1,Active
CMP205,281.1165316021454,1.4433708264760963,6,1,38.9372064748811,11,Inactive
CMP206,303.10874800424386,3.60600995134564,3,4,43.317281139890206,4,Active
CMP207,375.75176336043296,1.719570647503717,6,4,80.34253302022967,8,Active
CMP208,375.68929754561043,4.754794181984365,2,3,85.17450046459868,2,Active
CMP209,375.7523843153024,0.918070592116278,2,2,43.37618595935733,6,Inactive
CMP210,542.6365745327361,4.696456368290038,9,1,92.90076628152231,6,Active
CMP211,378.54452553465836,3.2110174672026184,7,2,65.3387789663312,9,Active
CMP212,406.77828200902997,2.9032868881296077,3,3,77.93586023971099,5,Inactive
CMP213,397.7000881746601,2.4550809131910505,1,4,107.24441256510849,10,Inactive
CMP214,382.5695625652899,3.399136114352071,8,5,92.93678631731063,4,Inactive
CMP215,334.2365377679827,2.9623652975751518,6,2,69.62938704188335,5,Active
CMP216,387.9484610246634,4.103301882016521,7,4,57.17615549169425,10,Active
CMP217,311.3587392731214,3.1142276486620397,9,4,31.9636919734139,11,Inactive
CMP218,338.15906966299957,3.150301761461878,5,0,60.616933615151595,5,Active
CMP219,325.7318226085448,2.636387787786144,1,2,70.7773952234461,8,Inactive
CMP220,354.09370696931614,2.9430543762789325,7,5,55.25640945697632,10,Inactive
CMP221,465.73292833367543,3.3078017688920593,5,2,72.3748606581539,8,Active
CMP222,256.6367403704126,1.2898316073433744,3,4,76.53703765917537,2,Active
CMP223,384.31300951872566,1.651814577894287,9,5,70.50288036383843,7,Inactive
CMP224,269.3642064405174,3.743264094022715,1,3,61.99994838353081,8,Inactive
CMP225,326.4034067105283,3.170865438127942,1,0,78.37309343933455,11,Inactive
CMP226,404.4475298483683,2.816016663647321,1,4,83.83881299138818,6,Inactive
CMP227,353.21400095477316,3.0184339330653933,3,1,53.19201845114308,5,Active
CMP228,296.1127611035347,3.347581705361671,6,1,103.2186475949254,11,Inactive
CMP229,314.23481453700157,2.4602403196906386,3,0,73.02823735431477,9,Inactive
CMP230,383.9798874467338,2.2216952745976872,8,3,75.37699245889695,3,Inactive
CMP231,313.48166841414314,3.1958452550976815,2,4,89.16428846513114,10,Active
CMP232,360.8229294790987,2.021627222384968,9,2,79.66432262527003,4,Active
CMP233,352.2785919951907,3.408252755714472,3,0,94.0627326782649,9,Inactive
CMP234,317.4199826197091,1.2974163957621596,5,3,80.74248330403648,6,Active
CMP235,457.19720446626627,4.029155637325644,8,2,62.75125250719124,8,Active
CMP236,381.6959511159006,3.4725974824130432,2,1,82.23007050412204,7,Active
CMP237,248.74287066711963,3.2560297343138758,6,1,52.125475853586764,11,Inactive
CMP238,359.3227157384714,3.982690983945514,5,2,77.17119411553047,2,Inactive
CMP239,316.9106767615806,4.665474444462577,9,0,74.33540018711078,3,Active
CMP240,392.6216667398112,4.014370065018131,5,1,70.83766285454921,1,Inactive
CMP241,310.37396307836497,1.1591257686683547,2,4,72.42924977122138,9,Inactive
CMP242,344.26317792665503,1.7204230332642985,5,5,37.36301909004722,7,Active
CMP243,375.24936394902284,2.3751814223043213,4,2,64.02550184518077,1,Active
CMP244,393.2877597085061,3.026091050210834,7,2,76.85689802282229,3,Inactive
CMP245,289.98517964721117,3.517659020469123,6,1,78.19712783994801,4,Active
CMP246,333.2749382079526,2.2742561868465345,2,0,54.44649718148084,4,Inactive
CMP247,326.2527344419522,3.1867667644770785,5,4,100.31415681729402,5,Inactive
CMP248,317.3335383713144,2.2446170676466775,7,0,57.676503035709985,3,Active
CMP249,438.27271201405483,2.388482197008052,7,3,94.38914401053474,3,Inactive
CMP250,370.2490855480478,1.5933389031517777,5,3,83.5438872374337,1,Inactive
CMP251,286.95580228324775,2.0767667538890957,9,5,62.075453803123935,7,Active
CMP252,395.8930973527388,1.6483153943836664,4,1,110.50621785219025,11,Active
CMP253,456.10780985063167,2.024126747022667,3,1,51.1272633648704,10,Active
CMP254,401.62326302755736,4.05364179660784,4,1,93.38308347220003,1,Inactive
CMP255,274.03150170229935,2.050601111168057,5,5,95.01164636085957,2,Active
CMP256,325.78829635668745,5.63238206483739,6,3,61.5875958184671,4,Active
CMP257,413.34555745933113,3.4933179008808892,3,0,102.84930600128658,4,Active
CMP258,314.61652671906097,3.1848361236948737,2,5,69.99906970802094,5,Active
CMP259,372.1909714073114,2.1416422198187863,4,5,80.77387258559715,11,Inactive
CMP260,388.73170267146685,3.7003098794089913,5,0,80.20643677542441,2,Inactive
CMP261,303.65347642109583,2.4243621737622263,4,1,72.31382517058904,4,Active
CMP262,347.02373219691,3.1220098146453616,3,4,91.21616546319564,1,Inactive
CMP263,187.93663299654636,5.560084538268795,8,0,90.86977441104426,2,Active
CMP264,298.7806179332855,2.90394010027535,4,3,40.029360535236385,1,Active
CMP265,337.371592430342,4.149273326285676,2,2,101.08680485756305,10,Inactive
CMP266,287.6108409017575,2.2968235748741126,2,2,41.750160239286515,10,Inactive
CMP267,431.62056519658177,2.9650115095030385,1,5,95.65092408683314,4,Active
CMP268,278.49293110196834,4.77080063563551,4,2,97.53410273655166,4,Active
CMP269,327.9977756651508,2.3730329422122325,9,4,53.18067139569604,7,Inactive
CMP270,356.53702886430455,4.8124485579969285,7,1,66.78371424090831,10,Active
CMP271,422.06366445330576,3.7077519354554753,7,3,52.88590663028128,11,Inactive
CMP272,278.206892441028,2.4375332241057324,7,4,70.70157939422529,11,Active
CMP273,408.158187607748,3.632407739055521,8,3,68.83931431628517,9,Active
CMP274,350.51165305097936,3.9725544496267298,1,3,90.59321064538679,9,Inactive
CMP275,300.92456744760244,3.6218099622171964,8,1,101.20617492239217,5,Inactive
CMP276,373.10517371316354,1.4297752801095436,4,5,102.91367621579911,10,Inactive
CMP277,359.9529847786735,2.2728628241751316,4,2,63.75663946843396,1,Inactive
CMP278,319.98915614206027,2.7524813644484953,4,1,70.81556252510944,1,Inactive
CMP279,353.490104249501,2.925566570899954,6,4,41.331236155580996,6,Inactive
CMP280,330.73432015691196,3.620672097550678,7,5,58.88259867007622,2,Inactive
CMP281,355.6758672625624,3.177701000933254,6,4,94.29703266194915,8,Active
CMP282,383.10653372605236,1.6646556412898987,1,5,107.31165647096464,9,Active
CMP283,429.3008408072676,3.3801978510059634,8,4,50.31302256240156,4,Active
CMP284,288.10922505865756,3.610585745283823,7,1,63.15071481694211,5,Inactive
CMP285,456.65166873281333,3.55979044793104,6,5,74.47188486082146,11,Inactive
CMP286,252.3956100238749,4.080780725554622,6,5,80.60322317639213,8,Inactive
CMP287,342.41074524822085,3.833922154548904,5,3,58.80792960156708,3,Active
CMP288,379.41586032422885,3.4591800792284366,6,3,83.48122088928179,5,Inactive
CMP289,364.0495933867516,2.929834288541353,9,0,65.52321305858167,3,Inactive
CMP290,318.8650240089703,1.3390390664840086,9,4,74.71095458243441,10,Active
CMP291,339.5938874821362,3.429618219132586,8,3,85.925684960074,3,Inactive
CMP292,325.34995326705837,3.2076876871631113,9,0,75.12844539621875,3,Active
CMP293,320.53176215278944,3.2715788371953733,8,3,66.27228218946863,7,Active
CMP294,392.48010485105124,1.7232514241796906,8,4,72.80780392148338,7,Inactive
CMP295,367.85077429825236,1.9189434595917376,1,5,73.2327408158933,7,Inactive
CMP296,315.3545202369673,4.053152853332904,5,2,67.59977940235744,10,Inactive
CMP297,394.9799937716625,2.960444846143345,4,4,69.82407874665795,8,Active
CMP298,365.36497604383044,3.6815006973726243,2,1,106.97294341009433,5,Active
CMP299,390.643105941948,3.028318376130461,8,3,86.21838895882478,5,Active
CMP300,381.4814420961806,3.029756139495745,3,3,69.09039363941679,4,Inactive
CMP301,308.5502494538964,3.9382838059759977,4,5,88.93908809021471,7,Inactive
CMP302,321.99094799015154,2.483955271782626,7,1,68.3236102048798,10,Inactive
CMP303,387.36468025616307,3.0961207769409835,9,5,98.46249275173282,4,Inactive
CMP304,380.5185132716732,2.5377247112949575,2,1,82.39284384396188,2,Active
CMP305,348.9549203017926,2.5655037725676846,3,2,72.85395711991542,4,Active
CMP306,355.8663691654391,2.6908278765313605,4,3,83.95433851620555,8,Active
CMP307,413.88324478942127,3.222133771633713,1,3,43.58247695863001,9,Active
CMP308,320.4214305582085,2.5212513783365225,7,2,52.4646506218039,3,Inactive
CMP309,377.3548690585019,4.255756125573521,2,0,51.12149987201889,7,Inactive
CMP310,339.8903673783053,2.105392697780496,5,5,77.85886189527413,9,Inactive
CMP311,339.115939838639,2.813128355838641,1,2,109.65029998970184,11,Active
CMP312,404.93884259935953,2.560268941725825,3,5,119.62600292385264,4,Active
CMP313,391.2708174494015,4.446977884353733,2,4,87.76102202881515,10,Inactive
CMP314,390.67548180003195,3.1965547765115745,1,3,85.01688949888914,3,Inactive
CMP315,415.27394035771647,4.031844539468635,7,5,38.97884531694522,5,Active
CMP316,351.05019208163793,1.514439626963028,5,1,64.14652400531956,1,Inactive
CMP317,384.09764856474817,3.267050265869259,1,5,59.24432496183522,3,Active
CMP318,334.4866621703272,3.889630795623437,6,4,62.58304803497768,8,Active
CMP319,366.2083176244221,3.082283989275424,5,3,71.63712362830421,11,Active
CMP320,343.49284728161575,4.065480375065351,3,2,65.55818844605746,8,Inactive
CMP321,354.8497982496359,2.4827115498996277,7,4,35.414003792484245,4,Inactive
CMP322,379.75785127184565,4.40934744018558,9,3,89.95820512235068,2,Active
CMP323,309.0889658383264,5.29889812361925,9,5,53.54513948520387,8,Inactive
CMP324,454.619363784273,2.637161439560341,9,0,79.78493728222298,8,Active
CMP325,299.6991309250149,2.5544974785992283,2,0,116.48165339499947,10,Active
CMP326,289.2905693606134,4.453384477117701,3,1,56.61230816827153,4,Active
CMP327,407.9055436750034,4.579572145730713,7,3,24.394249545073407,3,Active
CMP328,389.5831346981468,2.477139972846732,5,0,69.27991556239779,2,Inactive
CMP329,381.2059908526078,2.5798131829041426,2,2,97.01919269997143,9,Active
CMP330,381.41727546321397,2.7182153911394926,3,3,114.16694908441187,1,Active
CMP331,349.3876613576543,1.655549488965723,6,2,50.40900811095166,7,Inactive
CMP332,305.1372814257084,2.0813480535158018,7,2,84.93398446473043,5,Active
CMP333,353.79022790968634,1.9958592332479321,9,0,65.69379086439893,8,Active
CMP334,316.14191442439443,2.2322024348958713,1,3,72.88103291391728,4,Inactive
CMP335,398.7559866708876,2.9653151126132187,7,5,127.8868669403407,7,Inactive
CMP336,342.6471309248931,3.234214732536521,8,4,44.94059343209693,5,Inactive
CMP337,308.7251401603744,4.550500492814077,3,0,80.07479322989147,5,Active
CMP338,333.93070791735033,2.001645959261209,4,0,84.35386343530867,9,Inactive
CMP339,370.6465727137812,3.984322398476584,6,5,96.71572649878695,9,Inactive
CMP340,321.81377235980125,2.786011155774491,7,3,76.95966306941791,9,Active
CMP341,308.8889802216784,2.950536290347567,4,3,81.16101079008205,6,Active
CMP342,362.18436057459564,3.6748194921666038,8,2,67.16702865156418,6,Active
CMP343,362.24832855543616,1.8772779784377014,5,5,80.38253882490214,5,Active
CMP344,324.6528412314435,3.3824097461840505,1,5,68.1361544900518,9,Active
CMP345,326.44808471908385,3.166452208213056,4,3,87.43143779712102,10,Inactive
CMP346,361.6024968678818,3.492451264008149,3,2,67.60779327912732,8,Inactive
CMP347,277.5957829251338,3.2891686439078183,9,0,82.54200787804373,7,Inactive
CMP348,279.62681128117225,5.455300139910895,8,1,74.41474372630043,7,Active
CMP349,314.0777889373782,2.362260015748684,1,4,97.52100501544336,6,Active
CMP350,339.32764241440765,2.4690030449981824,6,0,73.97212552823028,5,Active
CMP351,365.5453782799002,2.3768594735752355,9,3,39.53935063586237,4,Inactive
CMP352,423.7678108474776,2.4445228808397452,7,4,100.23843001427983,3,Inactive
